onset	duration	isError	totalError	memError	load	recall_dir	retrieval
  6.501	6	0	0	0	4	B	0
 14.002	7	0	0	0	4	B	1
 35.501	6	0	0	0	2	B	0
 43.001	7	0	0	0	2	B	1
   52.5	6	0	0	0	2	B	0
     60	7	1	1	1	2	B	1
   69.5	6	0	0	0	4	F	0
 77.001	7	0	0	0	4	F	1
 86.501	6	0	0	0	2	F	0
 94.502	6	0	0	0	2	F	0
    102	7	0	0	0	2	F	1
111.501	6	0	0	0	4	F	0
  119.5	6	0	0	0	4	B	0
139.501	6	0	0	0	6	F	0
    147	7	0	0	0	6	F	1
156.501	6	0	0	0	6	B	0
164.002	7	0	0	0	6	B	1
  173.5	6	0	0	0	6	B	0
181.001	7	1	1	1	6	B	1
202.501	6	0	0	0	4	F	0
210.001	7	1	1	1	4	F	1
219.501	6	0	0	0	2	B	0
    227	7	1	1	0	2	B	1
248.502	6	0	0	0	4	B	0
256.001	7	0	0	0	4	B	1
265.501	6	0	0	0	2	B	0
273.502	6	0	0	0	2	F	0
281.001	7	0	0	0	2	F	1
290.501	6	0	0	0	4	B	0
    298	7	0	0	0	4	B	1
307.501	6	0	0	0	6	F	0
315.002	7	0	0	0	6	F	1
324.501	6	0	0	0	6	B	0
  332.5	6	0	0	0	4	F	0
340.001	7	0	0	0	4	F	1
  349.5	6	0	0	0	6	F	0
357.001	7	0	0	0	6	F	1
366.502	6	0	0	0	6	F	0
  374.5	6	0	0	0	2	F	0
    382	7	0	0	0	2	F	1
391.501	6	0	0	0	6	B	0
399.002	7	1	3	3	6	B	1
    6.5	6	0	0	0	2	F	0
     14	7	0	0	0	2	F	1
   23.5	6	0	0	0	2	B	0
 31.001	7	1	3	1	2	B	1
   40.5	6	0	0	0	6	B	0
     48	7	1	1	1	6	B	1
   69.5	6	0	0	0	2	B	0
   77.5	6	0	0	0	6	F	0
     85	7	1	2	2	6	F	1
  106.5	6	0	0	0	4	B	0
    114	7	1	5	4	4	B	1
123.501	6	0	0	0	4	F	0
  131.5	6	0	0	0	4	F	0
    139	7	1	1	1	4	F	1
  148.5	6	0	0	0	6	B	0
    156	7	1	1	1	6	B	1
  165.5	6	0	0	0	4	F	0
    173	7	1	2	2	4	F	1
  182.5	6	0	0	0	4	F	0
    190	7	0	0	0	4	F	1
  211.5	6	0	0	0	6	F	0
219.002	7	0	0	0	6	F	1
228.502	6	0	0	0	2	F	0
  236.5	6	0	0	0	4	B	0
244.501	6	0	0	0	6	F	0
  252.5	6	0	0	0	6	F	0
260.002	7	0	0	0	6	F	1
269.502	6	0	0	0	2	F	0
277.002	7	0	0	0	2	F	1
  286.5	6	0	0	0	2	F	0
294.001	7	0	0	0	2	F	1
  303.5	6	0	0	0	6	B	0
311.502	6	0	0	0	2	B	0
    319	7	0	0	0	2	B	1
328.502	6	0	0	0	6	B	0
    336	7	0	0	0	6	B	1
345.502	6	0	0	0	2	B	0
    353	7	0	0	0	2	B	1
  374.5	6	0	0	0	4	B	0
    382	7	0	0	0	4	B	1
  391.5	6	0	0	0	4	B	0
    399	7	0	0	0	4	B	1
  6.501	6	0	0	0	4	F	0
 14.001	7	0	0	0	4	F	1
 35.501	6	0	0	0	4	B	0
 43.001	7	0	0	0	4	B	1
 52.501	6	0	0	0	2	B	0
 60.001	7	0	0	0	2	B	1
 69.501	6	0	0	0	4	F	0
 77.001	7	0	0	0	4	F	1
 86.501	6	0	0	0	4	B	0
 94.501	6	0	0	0	6	B	0
    102	7	1	1	1	6	B	1
111.501	6	0	0	0	2	F	0
119.501	6	0	0	0	6	B	0
127.002	7	1	2	2	6	B	1
136.501	6	0	0	0	4	F	0
144.001	7	0	0	0	4	F	1
153.501	6	0	0	0	6	F	0
161.501	6	0	0	0	6	B	0
169.001	7	1	1	1	6	B	1
190.501	6	0	0	0	6	B	0
198.501	6	0	0	0	6	F	0
206.001	7	0	0	0	6	F	1
227.501	6	0	0	0	2	B	0
235.001	7	0	0	0	2	B	1
244.501	6	0	0	0	2	F	0
252.001	7	0	0	0	2	F	1
261.501	6	0	0	0	2	B	0
269.501	6	0	0	0	2	F	0
277.001	7	0	0	0	2	F	1
286.501	6	0	0	0	4	B	0
294.001	7	0	0	0	4	B	1
303.501	6	0	0	0	4	B	0
311.001	7	0	0	0	4	B	1
332.501	6	0	0	0	6	F	0
340.001	7	0	0	0	6	F	1
349.501	6	0	0	0	6	F	0
357.001	7	0	0	0	6	F	1
366.501	6	0	0	0	4	F	0
374.501	6	0	0	0	2	B	0
382.001	7	0	0	0	2	B	1
391.501	6	0	0	0	2	F	0
399.001	7	0	0	0	2	F	1
    6.5	6	0	0	0	4	F	0
   14.5	6	0	0	0	4	B	0
     22	7	1	1	0	4	B	1
   31.5	6	0	0	0	4	F	0
 39.002	7	0	0	0	4	F	1
   48.5	6	0	0	0	2	B	0
   68.5	6	0	0	0	2	F	0
     76	7	0	0	0	2	F	1
   97.5	6	0	0	0	4	F	0
105.002	7	0	0	0	4	F	1
  114.5	6	0	0	0	4	B	0
    122	7	0	0	0	4	B	1
  131.5	6	0	0	0	6	F	0
    139	7	1	2	2	6	F	1
  148.5	6	0	0	0	6	B	0
156.501	6	0	0	0	4	B	0
    164	7	0	0	0	4	B	1
  173.5	6	0	0	0	2	F	0
  181.5	6	0	0	0	2	B	0
    189	7	1	1	0	2	B	1
198.502	6	0	0	0	2	F	0
    206	7	0	0	0	2	F	1
  215.5	6	0	0	0	2	F	0
    223	7	0	0	0	2	F	1
  232.5	6	0	0	0	6	F	0
  252.5	6	0	0	0	2	B	0
    260	7	0	0	0	2	B	1
  269.5	6	0	0	0	6	B	0
    277	7	1	1	1	6	B	1
  286.5	6	0	0	0	4	F	0
    294	7	0	0	0	4	F	1
  303.5	6	0	0	0	6	F	0
311.002	7	0	0	0	6	F	1
  320.5	6	0	0	0	2	B	0
328.001	7	0	0	0	2	B	1
  337.5	6	0	0	0	6	F	0
    345	7	0	0	0	6	F	1
  354.5	6	0	0	0	6	B	0
    362	7	0	0	0	6	B	1
  383.5	6	0	0	0	6	B	0
391.002	7	1	3	3	6	B	1
  400.5	6	0	0	0	4	B	0
